Sample no.,Sample description,Date analyzed,No. points,SiO2_Liq,TiO2_Liq,Al2O3_Liq,Cr2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Sum,,T(MgO),T(CaO),Comments
KI67-1-85.0 ,ooze (matrix clots only),19-Mar-86,8,54.90,2.73,11.93,0.00,13.02,0.21,2.54,6.54,3.10,1.73,0.79,97.49,,1063,1077,
KI67-2-78.1,segregation vein,3-Feb-88,5,69.84,0.93,13.26,0.00,5.10,0.08,0.36,1.72,4.43,4.11,0.10,99.93,,,1000,
KI67-2-78.1,matrix glass,3-Feb-88,3,70.70,1.11,13.86,0.00,3.59,0.03,0.37,1.22,4.24,4.57,0.15,99.84,,1020,990,
KI67-2-83.5,foundered crust,3-Feb-88,6,63.10,2.35,15.14,0.00,4.96,0.07,1.35,2.72,3.89,4.39,0.57,98.54,,1038,1015,
KI67-2-83.7,segregation vein,3-Feb-88,5,60.85,1.84,13.97,0.00,9.73,0.15,1.56,4.44,3.66,2.90,0.58,99.68,,1042,1042,
KI67-2-87.5,matrix glass,18-Mar-85,12,56.81,2.87,13.35,0.00,10.19,0.15,3.07,6.20,2.52,2.23,1.16,98.55,,1074,1072,
KI67-2-87.9,matrix glass,14-Mar-85,10,54.60,3.73,12.62,0.00,11.32,0.17,3.75,7.36,2.48,1.67,0.82,98.52,,1089,1092,
KI67-2-97.8,rectangular section,15-Jun-79,2,51.48,5.22,13.23,nd,10.89,0.20,4.98,8.56,2.94,1.15,0.58,99.23,,1115,1107,
KI67-2-98.0,round section,15-Jun-79,2,50.13,4.32,12.73,nd,12.95,0.22,5.40,9.28,2.79,0.87,0.43,99.12,,1124,1122,
KI75-1-125,seg vein (glass metastable),6-Aug-82,5,73.47,0.56,12.69,0.00,2.49,0.13,0.11,0.79,2.87,4.39,0.04,97.54,,,983,
KI75-1-128R,segregation vein,6-Aug-82,5,73.14,0.65,12.77,0.00,2.98,0.08,0.20,0.97,2.66,4.06,0.10,97.61,,,987,
KI75-1-128,segregation vein,23-Jul-81,3,73.88,0.71,12.97,0.01,2.95,0.19,0.18,1.05,2.72,3.56,0.30,98.52,,,986,
KI75-1-130,near solidus -- matrix,3-Jul-84,4,71.92,0.97,13.92,0.00,2.85,0.05,0.41,1.04,3.18,4.68,0.15,99.17,,1020,986,
KI75-1-130 R1,matrix,6-Aug-82,5,71.11,1.05,13.88,0.00,2.59,0.01,0.35,0.90,3.62,5.78,0.04,99.33,,1020,986,
KI75-1-130 R2,defocused beam,25-Jul-86,5,71.27,0.93,13.84,0.00,2.77,0.00,0.45,0.93,3.67,5.41,0.30,99.57,,1021,985,
KI75-1-130 R3,"rastered beam, BULK ",25-Jul-86,2,70.41,1.09,13.88,0.00,2.77,0.00,0.47,0.94,4.90,5.32,0.21,99.99,,--,--,
KI75-1-130 R4,"rastered beam, BULK ",4-Aug-86,4,71.27,0.93,13.84,0.00,2.77,0.00,0.45,0.93,3.67,5.41,0.19,99.46,,--,--,
KI75-1-133.3,matrix glass,23-Jul-81,4,65.09,1.51,14.54,0.00,6.05,0.05,1.11,3.20,3.96,3.02,0.52,99.05,,1037,1023,
KI75-1-133.3 R,matrix glass,22-Jun-10,4,65.00,1.36,13.82,0.00,5.72,0.06,1.08,2.88,3.48,3.60,0.57,97.57,,1033,1018,
KI75-1-134.4,matrix glass,6-Aug-82,6,61.01,1.80,13.66,0.01,8.03,0.12,2.04,4.44,3.19,2.85,1.29,98.44,,1050,1043,
KI75-1-135.5,matrix glass,23-Jul-81,5,58.66,2.22,14.45,0.00,9.00,0.20,2.43,5.13,2.17,2.38,1.02,97.66,,1061,1053,
KI75-1-135.5R,matrix glass,5-Aug-82,3,58.62,2.22,13.79,0.02,8.93,0.13,2.37,5.12,3.16,2.50,1.25,98.11,,1056,1053,
KI75-1-136.5,matrix glass,20-Jul-87,,57.91,2.48,13.46,0.02,9.56,0.15,2.68,5.50,3.06,2.26,1.16,98.24,,1067,1060,
KI75-1-138±,matrix glass,22-Jun-10,12,58.50,2.34,13.48,0.00,9.63,0.19,2.67,5.49,2.93,2.34,1.18,98.75,,1066,1060,
KI75-1-139.3,matrix glass,5-Aug-82,5,55.11,3.32,12.99,0.01,11.41,0.19,3.61,6.99,3.24,1.63,0.76,99.26,,1085,1085,
KI75-1-139.3R,matrix glass,14-Jul-87,3,55.61,3.64,13.14,0.00,11.11,0.17,3.60,6.96,3.05,1.66,0.80,99.74,,1084,1083,
KI75-1-141.5,matrix glass,5-Aug-82,5,53.75,4.39,12.66,0.04,11.88,0.19,4.01,7.66,2.90,1.34,0.60,99.42,,1093,1097,
KI75-1-141.5 ,vorb,5-Aug-82,6,52.84,4.70,12.37,0.03,12.58,0.19,4.17,7.91,2.82,1.26,0.63,99.50,,1096,1102,
KI75-1-141.8,matrix glass,23-Jul-81,6,51.74,5.45,12.28,0.08,12.54,0.21,4.42,8.41,2.60,1.05,0.37,99.15,,1110,1110,
KI75-1-141.8 R,matrix,4-Aug-86,7,51.67,5.35,12.33,0.00,12.82,0.20,4.62,8.42,3.12,1.07,0.44,100.04,,1108,1108,
KI-1-143.8,matrix,23-Jul-81,11,52.20,5.05,12.93,0.07,12.13,0.20,4.93,8.84,2.67,1.03,0.45,100.50,,1115,1116,
KI-1-143.8R,matrix,26-Jul-82,8,51.50,5.11,12.65,0.01,12.11,0.17,5.04,8.79,2.53,1.03,0.48,99.42,,1113,1114,
KI75-1-144.9,matrix,5-Aug-82,5,51.04,4.99,12.79,0.02,11.43,0.17,5.21,8.94,3.07,0.98,0.48,99.12,,1117,1117,
KI75-1-145.1,matrix (crust/melt interface),26-Jul-82,6,50.98,4.62,12.67,0.01,12.27,0.19,5.24,9.18,2.48,0.96,0.42,99.02,,1120,1121,
KI75-1-145.1 R,dark glass in vorb,26-Jul-82,4,51.05,4.37,12.56,0.01,12.13,0.17,5.60,9.40,2.57,0.93,0.41,99.20,,1123,1125,
KI75-1-145.1,dark glass in vorb,15-Jun-79,4,50.60,4.54,12.90,nd,12.33,0.20,5.52,9.46,2.73,0.82,0.48,99.58,,1125,1126,
KI75-1-145.1,light glass in vorb,15-Jun-79,3,50.64,4.04,13.01,nd,11.90,0.19,5.86,9.88,2.60,0.87,0.42,99.41,,1130,1133,
KI75-1-145.1 R,light glass in vorb,26-Jul-82,4,50.70,4.23,12.91,0.01,11.76,0.19,5.90,9.80,2.54,0.88,0.41,99.33,,1128,1132,
KI75-1-138.2,ooze,5-Aug-82,5,51.62,4.16,13.54,0.04,11.94,0.17,5.52,9.67,3.04,0.87,0.39,100.96,,1127,1126,
KI75-2-121.8,segregation vein glass,3-Dec-87,5,74.34,0.71,13.17,0.00,1.69,0.01,0.03,0.46,3.51,5.72,0.08,99.72,,,977,
KI75-2-125,matrix ,3-Dec-87,4,74.05,0.71,12.61,0.00,1.73,0.00,0.09,0.45,3.88,5.26,0.03,98.81,,1021,977,
KI75-2-125 ,segregation glass,3-Dec-87,5,73.36,0.64,13.33,0.00,2.07,0.05,0.10,0.73,4.44,4.83,0.05,99.60,,,982,
KI75-2-129.1,matrix,29-Oct-80,8,72.20,0.84,13.01,nd,2.70,nd,0.24,0.87,3.31,4.22,0.18,97.57,,1028,985,
KI75-2-129.1,vesicle lining,29-Oct-80,8,70.51,0.94,14.18,nd,3.15,nd,0.38,1.18,3.31,4.23,0.08,97.96,,,990,
KI75-2-129.1,"rastered beam, BULK vesicle lining ",5-Jun-84,15,65.86,0.81,14.02,0.00,4.00,0.05,1.08,3.32,4.40,3.39,1.00,97.93,,--,--,cont. apatite
KI75-2-130.0,matrix glass,29-Oct-80,13,69.99,0.99,13.61,nd,4.01,nd,0.54,1.50,3.72,3.75,0.18,98.29,,,995,
KI75-2-131.1,glassy segregation vein,29-Oct-80,16,68.90,0.99,13.30,nd,5.33,nd,0.70,2.24,3.73,3.30,0.24,98.73,,,1008,
KI75-2-131.6,glassy segregation vein,29-Oct-80,15,65.57,1.43,13.78,nd,6.08,nd,1.07,2.69,3.79,3.32,0.59,98.32,,1028,1016,
KI75-2-132.9,matrix glass,29-Oct-80,15,59.11,2.12,13.15,nd,10.19,nd,2.44,5.08,3.61,2.23,1.06,98.99,,1058,1062,
KI75-2-138.7,near segregation-style crystals,29-Oct-80,7,50.68,5.17,12.26,nd,13.09,nd,4.58,8.13,2.87,0.98,0.55,98.31,,1105,1106,
KI75-2-138.7,near matrix crystals,29-Oct-80,15,50.32,5.03,12.39,nd,12.92,nd,4.69,8.18,2.91,0.97,0.54,97.95,,1108,1107,
KI75-2-138.7,average,15-Jun-79,4,50.98,5.13,12.51,nd,12.88,0.23,4.78,8.76,2.72,0.98,0.51,99.48,,1110,1114,
KI75-3-129.0,matrix glass,29-Oct-80,6,74.80,0.87,12.53,nd,2.00,nd,0.18,0.48,3.07,4.98,0.08,98.99,,1021,978,
KI75-3-134.5,matrix glass,29-Oct-80,13,66.00,1.57,14.04,nd,5.51,nd,0.97,2.63,3.81,3.77,0.45,98.75,,1030,1017,
KI75-3-134.5,glass vesicle lining,29-Oct-80,5,66.64,1.37,14.02,nd,5.65,nd,0.98,2.64,3.67,3.74,0.27,98.98,,1031,1018,
KI75-3-137.8,matrix glass,29-Oct-80,15,58.46,2.22,13.10,nd,8.92,nd,2.60,5.31,3.97,2.56,1.19,98.33,,1062,1065,
KI75-3-137.8,segregation vein,29-Oct-80,5,59.28,2.16,13.33,nd,9.13,nd,2.49,5.44,3.55,2.46,1.14,98.98,,1060,1067,
KI75-3-138.8,matrix glass,29-Oct-80,15,57.79,2.45,13.03,nd,8.84,nd,2.78,5.75,3.54,2.44,1.24,97.86,,1065,1071,
KI75-3-140.4,matrix glass,29-Oct-80,15,57.40,2.88,13.22,nd,9.50,nd,3.10,6.28,3.45,2.11,1.02,98.96,,1073,1078,
KI75-3-140.4,vorb glass,29-Oct-80,12,57.58,2.89,13.34,nd,9.21,nd,3.10,6.25,3.61,2.14,1.00,99.12,,1073,1077,
KI75-3-141.3,matrix glass,29-Oct-80,15,58.01,3.20,13.22,nd,9.20,nd,3.26,6.70,3.44,2.01,0.98,100.02,,1077,1085,
KI75-3-143.2,matrix glass,29-Oct-80,15,55.76,3.76,12.89,nd,10.42,nd,3.86,7.15,3.12,1.58,0.79,99.33,,1090,1091,
KI75-3-144.4,matrix glass,29-Oct-80,15,54.93,4.26,12.90,nd,10.33,nd,4.20,7.55,3.10,1.34,0.69,99.30,,1097,1097,
KI75-3-145.7 R,matrix glass,29-Oct-80,15,52.63,5.38,12.40,nd,11.46,nd,4.68,8.14,2.87,1.15,0.56,99.27,,1108,1107,
KI75-3-145.7,matrix glass,15-Jun-79,3,52.75,5.34,12.67,nd,11.36,0.17,4.71,8.17,3.13,1.08,0.54,99.92,,1109,1106,
KI76-1-130.5,"seg, metastable glass",14-Dec-82,5,74.60,0.53,12.13,0.00,1.58,0.04,0.02,0.42,1.99,5.11,0.05,96.47,,,976,
KI76-1-135.0,matrix glass,2-May-80,7,72.85,0.88,12.83,nd,2.34,nd,0.20,0.73,3.81,4.93,0.18,98.75,,1015,985,
KI76-1-135.0 R,matrix glass,14-Dec-82,5,73.70,0.99,12.56,0.00,2.46,0.04,0.21,0.69,1.94,4.76,0.15,97.50,,1015,981,
KI76-1-140.3 R,segregation vein,14-Dec-82,3,65.77,1.18,13.84,0.00,6.04,0.12,0.81,2.80,3.36,3.43,0.27,97.62,,,1015,
KI76-1-140.3 ,segregation vein,2-May-80,6,67.65,1.11,14.06,nd,5.77,nd,0.79,2.67,4.30,3.27,0.28,99.90,,,1017,
KI76-1-140.3,matrix glass,2-May-80,9,68.17,1.17,14.48,nd,4.32,nd,0.76,1.92,4.60,4.10,0.23,99.75,,1027,1002,
KI76-1-140.3 R,matrix glass,14-Dec-82,4,67.60,1.39,14.21,0.00,4.56,0.08,0.78,1.99,2.68,4.15,0.25,97.69,,1028,1004,
KI76-1-142.3,segregation vein,2-May-80,15,59.09,2.01,12.28,nd,10.95,nd,1.79,5.47,3.52,2.08,1.00,98.19,,1045,1059,
KI76-1-142.3 R,segregation vein,14-Dec-82,5,60.17,2.06,12.52,0.00,11.11,0.19,1.84,5.49,2.54,2.18,0.98,99.08,,1050,1060,
KI76-1-143.3,matrix,14-Dec-82,5,59.79,2.21,13.23,0.00,10.59,0.17,2.30,5.64,2.27,2.09,1.09,99.38,,1058,1061,
KI76-1-143.3 ,segregation vein,14-Dec-82,4,58.75,2.26,12.83,0.00,10.90,0.17,2.28,5.78,2.09,1.90,1.05,98.01,,1058,1066,
KI76-1-145.3 R,matrix glass,14-Dec-82,4,57.77,3.04,13.37,0.00,11.36,0.19,3.11,6.51,2.37,1.75,0.85,100.32,,1073,1073,
KI76-1-145.3 ,matrix glass,2-May-80,6,56.06,2.84,12.83,nd,10.96,nd,2.97,6.31,3.48,1.85,0.84,98.14,,1075,1073,
KI76-1-145.3,segregation vein,2-May-80,6,56.24,2.86,12.98,nd,11.12,nd,2.92,6.34,3.68,1.82,0.84,98.80,,1072,1074,
KI76-1-145.3 R,segregation vein,14-Dec-82,3,57.24,3.12,13.20,0.00,11.73,0.19,3.16,6.70,2.37,1.73,0.84,100.28,,1076,1080,
KI76-1-147.0,matrix glass,2-May-80,15,54.80,3.75,12.82,nd,11.41,nd,3.72,7.17,3.44,1.53,0.72,99.36,,1087,1088,
KI76-1-149.0,vorb glass,2-May-80,10,51.04,5.30,12.49,nd,12.31,nd,4.52,8.33,2.88,1.07,0.49,98.43,,1104,1108,
KI76-1-149.0,matrix glass,2-May-80,17,51.35,5.30,12.59,nd,12.20,nd,4.61,8.29,2.87,1.09,0.52,98.82,,1106,1106,
KI76-1-149.3,matrix (crust/melt interface),15-Jun-79,2,51.87,4.95,12.49,nd,12.92,0.24,4.66,8.45,2.86,1.06,0.46,99.96,,1107,1108,
KI76-1-149.3,vein nearest matrix,2-May-80,10,50.88,5.42,12.27,nd,12.55,nd,4.65,8.36,2.96,1.05,0.51,98.65,,1107,1106,
KI76-1-149.3,vein -- dark glass,15-Jun-79,2,50.48,4.75,12.99,nd,12.93,0.27,4.87,8.85,2.93,1.02,0.46,99.55,,1110,1116,
KI76-1-149.3,vein-- interstitial to crystals,2-May-80,3,50.80,5.32,12.52,nd,12.61,nd,4.70,8.61,2.72,1.04,0.57,98.89,,1108,1112,
KI76-1-149.3 R,vein dark  glass,2-May-80,3,50.48,5.17,12.31,nd,12.88,nd,4.75,8.67,2.83,1.09,0.5,98.68,,1109,1113,
KI76-1-149.3,vein light glass,15-Jun-79,2,51.14,4.68,12.66,nd,12.16,0.20,5.12,9.16,2.92,0.88,0.49,99.41,,1116,1120,
KI76-1-149.3 R,vein light glass,2-May-80,7,50.68,4.57,12.65,nd,12.00,nd,5.09,9.11,2.74,0.93,0.42,98.19,,1115,1119,
KI76-1-150.0,matrix glass,2-May-80,5,52.33,5.37,12.31,nd,12.55,nd,4.74,8.51,3.02,1.16,0.56,100.55,,1109,1100,
KI76-1-150.0,glass in bit (away from crystals),2-May-80,4,51.19,4.79,12.63,nd,12.69,nd,5.13,8.87,2.87,1.00,0.52,99.69,,1116,1116,
KI76-2-150.0 ,matrix glass,2-May-80,13,50.94,5.02,12.39,nd,12.12,nd,4.72,8.39,2.89,1.03,0.50,98.00,,1106,1109,
KI76-2-152+,glass in bit,2-May-80,4,50.69,4.68,12.35,nd,12.08,nd,4.96,8.82,2.71,0.98,0.49,97.76,,1112,1115,
KI76-2-152b,glass next skeletal olivine,2-May-80,4,50.25,4.71,12.57,nd,12.27,nd,4.73,8.67,2.84,1.00,0.49,97.53,,1106,1112,
KI79-1-158,matrix glass,1-Nov-83,7,73.86,0.53,12.85,0.00,2.67,0.04,0.15,0.91,2.89,4.38,0.04,98.32,,1017,985,
KI79-1-158 R,matrix glass,17-Sep-86,7,73.23,0.64,12.49,0.00,2.71,0.00,0.23,0.93,4.24,4.45,0.12,99.04,,1015,985,
KI79-1-158 incl 1,immiscible melt pair in plag,1-Nov-83,2,43.09,6.80,4.56,0.00,26.64,0.43,5.24,9.81,1.35,0.62,2.09,100.63,,--,--,
KI79-1-158 incl 1,immiscible melt pair in plag,1-Nov-83,2,70.75,1.30,11.06,0.00,5.56,0.04,0.94,1.97,2.66,4.22,0.12,98.62,,--,--,
KI79-1-158 incl 2,immiscible melt pair in plag,1-Nov-83,2,40.07,6.48,4.11,0.00,29.88,0.53,3.99,9.59,1.32,0.48,3.29,99.74,,--,--,
KI79-1-158  incl 2,immiscible melt pair in plag,1-Nov-83,2,72.10,1.04,10.89,0.00,5.51,0.06,0.60,1.68,2.76,3.65,0.12,98.41,,--,--,
KI79-1-159.9,matrix + vorb,27-Mar-84,5,72.13,1.54,13.22,0.00,2.26,0.01,0.37,0.71,3.18,5.62,0.22,99.26,,1019,982,
KI79-1-165.0,matrix glass,28-Jan-81,11,66.11,1.41,14.22,nd,3.65,nd,0.88,1.73,4.55,4.35,0.25,97.15,,1029,999,
KI79-1-167.6,segregation vein,27-Mar-84,5,61.25,1.86,13.38,0.00,9.12,0.12,1.94,4.74,4.13,3.10,1.27,100.91,,1050,1048,
KI79-1-167.6,matrix glass,27-Mar-84,5,60.62,2.17,14.00,0.00,7.51,0.08,2.21,4.53,3.99,3.05,1.57,99.73,,1056,1044,
KI79-1-169.9,matrix glass,1-Nov-83,7,58.53,2.60,13.91,0.00,8.77,0.12,2.89,5.48,3.11,2.59,1.40,99.40,,1070,1060,
KI79-1-173.8,matrix glass,28-Jan-81,10,54.91,3.77,12.93,nd,10.41,nd,3.66,7.06,3.42,1.63,0.87,98.66,,1087,1086,
KI79-1-173.8,segregation vein,28-Jan-81,10,53.92,3.91,12.46,nd,11.87,nd,3.72,7.48,3.20,1.35,0.73,98.64,,1088,1094,
KI79-1-175.0,matrix glass  ,14-Jul-87,5,54.67,4.12,13.16,0.00,11.04,0.20,4.16,7.47,2.56,1.39,0.44,99.21,,1096,1093,
KI79-1-175.0 R,matrix glass,3-Feb-88,5,53.78,3.96,13.34,0.00,10.91,0.17,4.10,7.53,3.46,1.50,0.71,99.46,,1095,1094,
KI79-1-175.0,vorb glass,14-Jul-87,6,54.02,4.02,13.02,0.01,10.81,0.17,4.15,7.58,2.80,1.39,0.76,98.73,,1096,1093,
KI79-1-175.0 R,vorb glass,3-Feb-88,5,53.31,3.94,13.06,0.00,10.60,0.17,4.11,7.49,3.36,1.41,0.71,98.16,,1095,1093,
KI79-1-180.2,matrix glass,1-Nov-83,8,52.04,4.70,12.94,0.00,11.88,0.19,5.28,9.03,2.85,1.07,0.55,100.53,,1119,1119,
KI79-1-183.7,matrix glass,1-Nov-11,10,51.50,4.37,13.09,0.01,11.41,0.18,5.48,9.26,2.75,0.93,0.46,99.44,,1123,1123,
KI79-1-185.5, below overnight stop,28-Jan-81,10,51.22,4.60,12.59,nd,11.86,nd,5.15,9.00,2.92,0.93,0.43,98.70,,1116,1117,
KI79-1-185.5,glass layer just below stop,28-Jan-81,9,51.32,4.63,12.61,nd,11.79,nd,5.26,9.07,2.90,0.95,0.45,98.98,,1119,1117,
KI79-1-187.4,matrix glass,10-Oct-94,8,51.59,4.02,13.31,0.02,11.36,0.16,5.81,9.62,3.05,0.87,0.40,100.21,,1130,1128,sulfur = 190 ppm
KI79-1-189.0,matrix glass,1-Nov-83,8,51.27,3.81,13.39,0.00,11.24,0.19,5.96,10.08,2.93,0.89,0.45,100.21,,1133,1137,
KI79-1-197.3,matrix glass,1-Nov-83,8,50.95,3.59,13.56,0.01,10.90,0.16,6.21,10.37,2.83,0.82,0.39,99.79,,1140,1142,
KI79-1-202.0,matrix glass,28-Jan-81,11,50.72,3.69,13.44,nd,10.99,nd,6.06,10.34,2.70,0.74,0.37,99.05,,1135,1140,
KI79-1-202.0,olivine-glass body,28-Jan-81,8,50.64,3.71,13.20,nd,10.71,nd,6.12,10.57,2.72,0.74,0.36,98.77,,1137,1143,
KI79-1-203.6,matrix glass,28-Jan-81,11,50.66,3.67,13.20,nd,10.64,nd,6.18,10.42,2.72,0.73,0.36,98.58,,1138,1142,
KI79-1-203.6  R,matrix glass,1-Nov-11,10,50.95,3.65,13.58,0.03,10.80,0.17,6.28,10.33,2.71,0.74,0.36,99.60,,1141,1140,
KI79-1R1-170.0,ol-poor  top of ooze sample,17-Sep-86,5,64.69,1.47,12.83,0.00,8.17,0.15,1.19,3.65,3.35,3.08,0.39,98.97,,1034,1029,
KI79-1R1-170.0,matrix with olivine - lower in sample,17-Sep-86,8,62.67,1.51,12.99,0.00,8.65,0.15,1.35,3.82,3.59,3.26,0.62,98.61,,1038,1032,
